时刻_h,小区负载_均值,小区负载_P25,小区负载_P75,小区负载_附件1,光伏出力_均值,光伏出力_P25,光伏出力_P75,光伏出力_附件1,实时电价_均值,实时电价_P25,实时电价_P75,实时电价_附件1
2.583,3517.924567945205,3298.5664,3848.9758,3517.9246,0.0,0.0,0.0,0.0,0.43480712328767124,0.3963,0.4716,0.4348
2.75,3518.551812328767,3277.2192,3851.4531,3518.5518,0.0,0.0,0.0,0.0,0.4335205479452055,0.3936,0.4742,0.4335
2.917,3521.097616438356,3268.22,3869.66,3521.0976,0.0,0.0,0.0,0.0,0.4357235616438357,0.3974,0.4799,0.4357
3.083,3526.926095068493,3316.6504,3857.5361,3526.9261,0.00017534246575342467,0.0,0.0,0.0,0.43741835616438357,0.4063,0.4764,0.4374
3.25,3537.2853967123287,3272.9441,3862.2807,3537.2854,3.9726027397260274e-05,0.0,0.0,0.0,0.43707972602739725,0.4049,0.4774,0.4371
3.417,3544.8808493150686,3229.89,3901.74,3544.8808,0.0,0.0,0.0,0.0,0.4356424657534247,0.3948,0.4795,0.4356
3.583,3541.2786986301367,3178.2047,3877.5844,3541.2787,0.0030569863013698633,0.0,0.0,0.0,0.43526904109589043,0.4017,0.4758,0.4353
3.75,3546.3976487671234,3207.1327,3888.5788,3546.3976,0.001176986301369863,0.0,0.0,0.0,0.43601917808219176,0.4026,0.4748,0.436
3.917,3560.2070136986304,3248.35,3912.76,3560.207,0.0,0.0,0.0,0.0,0.43782547945205486,0.3974,0.4821,0.4378
4.083,3561.95808109589,3288.2451,3938.7831,3561.9581,0.04300739726027398,0.0,0.0108,0.0,0.4401183561643835,0.3989,0.482,0.4401
4.25,3556.718350410959,3235.0494,3920.1051,3556.7183,0.016804931506849318,0.0,0.0,0.0,0.43885315068493147,0.3992,0.4832,0.4389
4.417,3560.027205479452,3228.82,3935.69,3560.0272,0.0,0.0,0.0,0.0,0.4363734246575342,0.3985,0.4818,0.4364
4.583,3580.6539621917814,3243.325,3952.9142,3580.654,0.5993561643835617,0.0,0.1498,0.5994,0.43928410958904107,0.3948,0.4811,0.4393
4.75,3586.915965753425,3244.8152,3949.707,3586.916,0.23451835616438363,0.0,0.0096,0.2345,0.4422408219178082,0.4045,0.482,0.4422
4.917,3571.2634794520545,3263.26,3903.92,3571.2635,0.2884931506849315,0.0,0.0,0.2885,0.4395035616438355,0.4004,0.48,0.4395
5.083,3562.317054794521,3242.6515,3927.9995,3562.3171,18.678091506849313,0.0,3.1771,18.6781,0.4332564383561644,0.3935,0.4758,0.4333
5.25,3591.380909041096,3277.9747,3949.0725,3591.3809,54.469815890410956,0.0,40.5799,54.4698,0.44385479452054794,0.4057,0.4873,0.4439
5.417,3579.7045479452054,3253.25,3947.91,3579.7045,108.97181506849313,0.0,195.45,108.9718,0.4300843835616438,0.3908,0.4727,0.4301
5.583,3486.1190468493146,3241.934,3807.1543,3486.119,184.16027835616438,0.0,415.7813,184.1603,0.3712602739726027,0.3362,0.4114,0.3713
5.75,3823.899358356165,3224.431,4268.285,3823.8994,277.05815561643834,0.0,662.1038,277.0582,0.5708342465753424,0.5187,0.628,0.5708
5.917,4398.072712328767,3211.02,5062.36,4398.0727,388.5494178082192,0.0,881.3625,388.5494,0.9098520547945206,0.8263,0.9932,0.9099
6.083,4454.012273424658,3249.9468,5146.3117,4454.0123,521.280288219178,0.3313,1141.1722,521.2803,0.9368282191780823,0.8582,1.0219,0.9368
6.25,4371.791907945205,3264.5042,5017.4353,4371.7919,672.767730410959,0.8433,1387.4953,672.7677,0.8758098630136986,0.8006,0.9681,0.8758
6.417,4392.952958904109,3254.97,5002.11,4392.953,844.2260958904109,0.0,1649.4,844.2261,0.875863287671233,0.8016,0.9807,0.8759
6.583,4384.595549863014,3234.0356,5047.3402,4384.5956,1039.6744279452055,12.6594,1894.3047,1039.6744,0.8601454794520548,0.7968,0.9609,0.8601
6.75,4434.775704657534,3428.0402,5034.951,4434.7757,1259.3374832876711,153.4932,2192.9589,1259.3375,0.8441986301369863,0.7759,0.9372,0.8442
6.917,4523.45605479452,3787.21,5038.4,4523.4561,1508.631780821918,433.35,2459.475,1508.6318,0.8334449315068493,0.7608,0.9183,0.8334
7.083,4524.072086027397,3832.2447,4996.6636,4524.0721,1791.41066739726,709.914,2772.7958,1791.4107,0.8091994520547945,0.7372,0.8895,0.8092
7.25,4545.886743561644,3753.1081,5019.9514,4545.8867,2085.4864824657534,995.901,3037.6967,2085.4865,0.7971865753424657,0.7267,0.8811,0.7972
7.417,4523.241780821918,3754.85,5017.07,4523.2418,2381.2610958904106,1303.2375,3305.7,2381.2611,0.7644364383561645,0.6928,0.8575,0.7644
7.583,4383.356639178082,3814.3541,4854.2716,4383.3566,2683.175244657534,1590.174,3608.825,2683.1752,0.6898906849315067,0.6102,0.7834,0.6899
7.75,4910.459873150685,3784.9077,5590.8203,4910.4599,2986.355155342466,1923.3759,3855.0696,2986.3552,0.859966301369863,0.7854,0.9445,0.86
7.917,5799.732684931506,3796.43,6803.97,5799.7327,3289.2040068493147,2276.775,4168.1625,3289.204,1.161682191780822,1.0783,1.2868,1.1617
8.083,5884.82604520548,3737.1236,6909.2138,5884.826,3593.361249863013,2628.2615,4470.9937,3593.3613,1.1682860273972602,1.0715,1.2955,1.1683
8.25,5748.071280547944,3733.9841,6728.0422,5748.0713,3890.733173150685,2925.433,4731.7837,3890.7332,1.0956,1.008,1.2105,1.0956
8.417,5769.05805479452,3695.8,6774.03,5769.0581,4181.341746575342,3244.125,5018.5125,4181.3417,1.0849008219178082,0.9912,1.2021,1.0849
8.583,5754.210487671232,3689.646,6784.8729,5754.2105,4471.765715342466,3503.615,5340.5696,4471.7657,1.061024383561644,0.9758,1.1921,1.061
8.75,5824.180742465754,3952.895,6782.3162,5824.1807,4752.8271715068495,3799.8443,5646.4757,4752.8272,1.0430260273972602,0.966,1.1603,1.043
8.917,5954.2601095890395,4398.14,6778.17,5954.2601,5021.907431506849,4054.1625,5924.775,5021.9074,1.0359882191780823,0.9374,1.1409,1.036
9.083,5958.969631232876,4435.8367,6759.0704,5958.9696,5285.4125512328765,4384.5371,6148.5753,5285.4126,1.014678082191781,0.9255,1.1171,1.0147
9.25,5929.5553975342455,4407.4568,6776.7988,5929.5554,5543.1742345205475,4604.0297,6411.51,5543.1742,0.9922032876712329,0.9087,1.0906,0.9922
9.417,5923.782767123287,4368.42,6733.18,5923.7828,5788.409280821918,4873.8375,6660.3,5788.4093,0.9700057534246576,0.8887,1.0677,0.97
9.583,5907.58598958904,4399.2754,6724.9364,5907.586,6012.130438630137,5129.5263,6883.1423,6012.1304,0.9422043835616437,0.8549,1.0536,0.9422
9.75,5899.126155342466,4345.2158,6714.1402,5899.1262,6216.152788493152,5348.0232,7109.6331,6216.1528,0.9569432876712329,0.8581,1.0533,0.9569
9.917,5902.219589041097,4306.72,6744.95,5902.2196,6409.594109589041,5537.3625,7253.1375,6409.5941,0.9976506849315068,0.8712,1.1265,0.9977
10.083,5897.479282465753,4286.0237,6734.6809,5897.4793,6599.380772602741,5702.658,7472.5148,6599.3808,0.9919515068493151,0.862,1.1226,0.9919
10.25,5886.756810136986,4342.3468,6728.0062,5886.7568,6766.720371232877,5863.1348,7574.1594,6766.7204,0.95878,0.8356,1.0808,0.9588
10.417,5873.470767123288,4320.47,6727.41,5873.4708,6914.592328767122,5999.3625,7708.35,6914.5923,0.9548854794520547,0.8243,1.0852,0.9549
10.583,5858.030780547945,4310.2085,6740.4952,5858.0308,7064.205336164383,6135.5758,7833.9534,7064.2053,0.9839383561643836,0.8449,1.1234,0.9839
10.75,5844.994823287671,4279.7768,6709.8929,5844.9948,7197.431476438357,6270.6336,7975.2635,7197.4315,0.7990120547945206,0.6842,0.9067,0.799
10.917,5839.058739726029,4274.35,6706.05,5839.0587,7303.114212328767,6405.15,8155.3875,7303.1142,0.5025016438356165,0.4123,0.6109,0.5025
11.083,5838.710330410958,4236.8391,6688.1647,5838.7103,7387.68475479452,6537.7781,8216.8863,7387.6848,0.46624027397260276,0.373,0.5717,0.4662
11.25,5823.4377547945205,4217.871,6663.6085,5823.4378,7459.226967123287,6589.0064,8289.5509,7459.227,0.5006649315068493,0.4083,0.6067,0.5007
11.417,5814.793232876713,4205.23,6697.89,5814.7932,7520.719109589041,6635.1375,8394.4875,7520.7191,0.48273972602739723,0.3906,0.586,0.4827
11.583,5832.395147123288,4211.9937,6675.9632,5832.3951,7568.2038523287665,6599.4554,8455.7294,7568.2039,0.47846082191780825,0.3939,0.5985,0.4785
11.75,5712.900999178082,4225.7314,6528.8309,5712.901,7592.153902739726,6665.4742,8478.3775,7592.1539,0.4661709589041096,0.3789,0.5752,0.4662
11.917,5519.460657534247,4273.15,6262.06,5519.4607,7601.043287671232,6661.275,8473.425,7601.0433,0.4431909589041096,0.361,0.5482,0.4432
12.083,5494.790748767124,4221.3399,6252.8643,5494.7907,7612.316028767123,6651.3779,8487.8746,7612.316,0.4411427397260274,0.3586,0.539,0.4411
12.25,5514.452445753424,4226.986,6281.2467,5514.4524,7602.6524038356165,6627.8125,8524.4239,7602.6524,0.45507616438356163,0.3688,0.5604,0.4551
12.417,5485.829041095891,4250.9,6251.21,5485.829,7554.187191780822,6649.425,8421.4875,7554.1872,0.44629369863013696,0.3536,0.5485,0.4463
12.583,5462.36275890411,4225.0041,6204.8323,5462.3628,7472.7384010958895,6584.2747,8356.5501,7472.7384,0.411341095890411,0.3238,0.5148,0.4113
12.75,5566.10663890411,4213.1908,6344.6983,5566.1066,7393.417236986302,6531.8447,8277.4777,7393.4172,0.5682405479452055,0.4808,0.6795,0.5682
12.917,5725.754794520548,4204.43,6559.89,5725.7548,7312.79794520548,6534.4875,8195.2125,7312.7979,0.8278586301369864,0.7306,0.9409,0.8279
13.083,5739.49567150685,4172.4181,6577.5165,5739.4957,7194.541004931507,6418.8269,8088.2584,7194.541,0.8635953424657535,0.7611,0.9781,0.8636
13.25,5714.68362520548,4223.2013,6522.8664,5714.6836,7053.1370657534235,6231.784,7869.7965,7053.1371,0.8415671232876712,0.74,0.9522,0.8416
13.417,5717.850520547945,4261.55,6521.17,5717.8505,6910.406404109589,6077.3625,7737.7125,6910.4064,0.8617860273972603,0.766,0.9808,0.8618
13.583,5708.248626575342,4234.8559,6530.375,5708.2486,6772.407483013698,5913.9377,7640.3957,6772.4075,0.862324109589041,0.7699,0.9667,0.8623
13.75,5696.918242739726,4201.8689,6518.3256,5696.9182,6607.36001150685,5779.6043,7481.8255,6607.36,0.9025854794520549,0.797,1.0124,0.9026
13.917,5692.298301369863,4303.98,6481.06,5692.2983,6412.50852739726,5604.15,7270.0125,6412.5085,0.9754490410958903,0.8518,1.1006,0.9754
14.083,5687.129080000001,4241.7131,6453.391,5687.1291,6214.015801095891,5393.2403,7028.3701,6214.0158,1.000205479452055,0.8703,1.1379,1.0002
14.25,5678.961982465754,4217.0366,6469.586,5678.962,6000.711209315068,5199.8465,6820.3957,6000.7112,0.9977819178082192,0.8662,1.1227,0.9978
14.417,5669.450767123288,4304.97,6445.36,5669.4508,5766.9815753424655,4988.9625,6598.4625,5766.9816,1.0270865753424658,0.9025,1.1561,1.0271
14.583,5664.194844383562,4369.5779,6428.1199,5664.1948,5521.506580000001,4614.6492,6359.729,5521.5066,1.0906063013698628,0.9593,1.2378,1.0906
14.75,5672.701132876712,4449.7989,6398.9096,5672.7011,5268.781015616438,4387.1571,6107.4417,5268.781,0.9376180821917808,0.8234,1.0426,0.9376
14.917,5682.254356164383,4470.62,6417.35,5682.2544,5009.715205479452,4166.5875,5821.725,5009.7152,0.6694043835616439,0.5685,0.7871,0.6694
15.083,5669.019524383562,4423.3852,6386.142,5669.0195,4743.448423835616,3895.4631,5562.0528,4743.4484,0.6599739726027397,0.5651,0.7706,0.66
15.25,5656.365147123288,4412.1987,6380.5095,5656.3651,4471.223961917808,3574.7475,5295.1247,4471.224,0.7217131506849315,0.6364,0.8247,0.7217
15.417,5657.086712328767,4381.06,6384.12,5657.0867,4188.202499999999,3293.625,5010.975,4188.2025,0.730755890410959,0.6354,0.8426,0.7308
15.583,5662.600758904109,4417.893,6397.1635,5662.6008,3889.3931205479453,2973.2793,4711.9702,3889.3931,0.7534054794520548,0.658,0.8639,0.7534
15.75,5669.259557534247,4419.705,6418.7974,5669.2596,3594.594639178082,2615.0861,4468.3309,3594.5946,0.7823328767123289,0.6835,0.889,0.7823
15.917,5673.4767123287675,4475.57,6404.25,5673.4767,3303.887773972603,2299.9125,4152.825,3303.8878,0.8055224657534248,0.7064,0.9145,0.8055
16.083,5671.014555616438,4540.5396,6386.6397,5671.0146,2998.424654794521,1976.7903,3885.7737,2998.4247,0.8271400000000001,0.7243,0.9422,0.8271
16.25,5661.5926443835615,4452.3636,6379.5503,5661.5926,2687.413112876712,1681.2301,3599.1232,2687.4131,0.8519134246575343,0.7497,0.9682,0.8519
16.417,5665.892246575342,4584.53,6382.31,5665.8922,2383.1779109589042,1372.5375,3310.9125,2383.1779,0.8790728767123286,0.7784,0.9886,0.8791
16.583,5689.037155342466,4614.5657,6364.9216,5689.0372,2089.1245602739727,1054.9659,3042.0509,2089.1246,0.9024243835616439,0.8036,1.0064,0.9024
16.75,5603.661364383562,4273.0829,6368.1724,5603.6614,1791.0829265753425,748.3192,2744.0656,1791.0829,0.9162898630136989,0.7956,1.0346,0.9163
16.917,5466.712356164383,3853.81,6374.42,5466.7124,1501.7282876712327,442.8375,2470.4625,1501.7283,0.9263846575342466,0.7584,1.0605,0.9264
17.083,5467.39386630137,3823.8707,6367.7307,5467.3939,1255.1723446575343,160.4541,2178.6864,1255.1723,0.9461676712328769,0.7892,1.0786,0.9462
17.25,5464.727020547944,3968.9661,6351.6336,5464.727,1036.3322613698629,14.3337,1924.8608,1036.3323,0.9741663013698629,0.8104,1.0967,0.9742
17.417,5492.445808219178,3939.26,6437.67,5492.4458,836.7774657534247,0.0,1640.85,836.7775,0.9862210958904108,0.798,1.1112,0.9862
17.583,5621.730768767123,3931.2324,6581.8646,5621.7308,665.2313175342465,0.8695,1375.81,665.2313,0.9759786301369864,0.7805,1.1014,0.976
17.75,5091.212649589041,3953.1904,5865.7857,5091.2126,516.6757632876712,0.3084,1141.0941,516.6758,1.0741761643835617,0.9241,1.1732,1.0742
17.917,4208.568849315068,4015.39,4615.76,4208.5688,386.67308219178085,0.0,913.5,386.6731,1.2312750684931506,1.1686,1.2968,1.2313
18.083,4122.761076986301,3926.8763,4566.9185,4122.7611,275.7932994520548,0.0,657.6721,275.7933,1.2560512328767124,1.2039,1.3112,1.2561
18.25,4255.93576849315,3964.903,4713.8718,4255.9358,182.9526109589041,0.0,433.6396,182.9526,1.2446528767123288,1.188,1.295,1.2447
18.417,4225.952410958904,3973.07,4630.38,4225.9524,108.34140410958904,0.0,204.3375,108.3414,1.2545246575342466,1.2035,1.3132,1.2545
18.583,4233.3384501369865,4070.1431,4719.9195,4233.3384,54.312083287671236,0.0,42.6828,54.3121,1.252178904109589,1.2015,1.3136,1.2522
18.75,4246.462453424658,4053.9396,4729.105,4246.4625,18.656919726027397,0.0,2.7337,18.6569,1.2881276712328769,1.2267,1.3495,1.2881
18.917,4239.179452054796,3986.32,4667.23,4239.1795,0.27534246575342464,0.0,0.0,0.2753,1.3465827397260275,1.2431,1.4762,1.3466
19.083,4244.668373698631,3963.8359,4775.5538,4244.6684,0.22958958904109586,0.0,0.0112,0.2296,1.352309315068493,1.2566,1.4957,1.3523
19.25,4251.918728219178,3971.8856,4732.5868,4251.9187,0.6007408219178082,0.0,0.1282,0.6007,1.3444901369863012,1.2581,1.4733,1.3445
19.417,4256.681287671233,4062.53,4676.5,4256.6813,0.0,0.0,0.0,0.0,1.3482487671232877,1.2492,1.4751,1.3483
19.583,4267.394735068493,4055.766,4693.8203,4267.3947,0.01644986301369863,0.0,0.0,0.0,1.3489506849315067,1.2565,1.4792,1.349
19.75,4269.9750315068495,3967.1522,4705.315,4269.975,0.04310438356164384,0.0,0.0092,0.0,1.3473123287671234,1.2526,1.4717,1.3473
19.917,4268.670164383562,4051.65,4740.81,4268.6702,0.0,0.0,0.0,0.0,1.348163287671233,1.2458,1.4765,1.3482
20.083,4282.224460273973,4115.1833,4747.4911,4282.2245,0.0011495890410958905,0.0,0.0,0.0,1.3513334246575344,1.2566,1.4884,1.3513
20.25,4291.704944109589,4109.0751,4754.2859,4291.7049,0.0030690410958904113,0.0,0.0,0.0,1.3400183561643835,1.2407,1.4746,1.34
20.417,4291.36106849315,4065.39,4756.8,4291.3611,0.0,0.0,0.0,0.0,1.3489093150684932,1.2518,1.488,1.3489
20.583,4293.918153424658,4095.4856,4764.64,4293.9182,4.0821917808219176e-05,0.0,0.0,0.0,1.3952457534246576,1.2892,1.547,1.3952
20.75,4295.2135186301375,4058.5176,4752.5607,4295.2135,0.00018164383561643834,0.0,0.0,0.0,1.2226331506849317,1.1528,1.3108,1.2226
20.917,4302.030712328767,4007.27,4775.23,4302.0307,0.0,0.0,0.0,0.0,0.9331597260273973,0.8871,0.993,0.9332
21.083,4320.961825205479,4119.7042,4833.172,4320.9618,0.0,0.0,0.0,0.0,0.9068391780821917,0.8644,0.9576,0.9068
21.25,4302.329183287671,4111.8288,4770.2902,4302.3292,0.0,0.0,0.0,0.0,0.9371194520547946,0.8947,0.9849,0.9371
21.417,4322.675835616438,4104.54,4712.43,4322.6758,0.0,0.0,0.0,0.0,0.9370676712328767,0.8929,0.9905,0.9371
21.583,4428.808330136986,4229.2596,4848.1529,4428.8083,0.0,0.0,0.0,0.0,0.9870958904109588,0.9377,1.0396,0.9871
21.75,4030.161435342466,3813.0609,4388.6412,4030.1614,0.0,0.0,0.0,0.0,0.7764457534246576,0.7237,0.8262,0.7764
21.917,3362.7419452054796,3128.35,3661.05,3362.7419,0.0,0.0,0.0,0.0,0.4209175342465754,0.3773,0.4619,0.4209
22.083,3309.3933638356166,3080.3832,3634.6061,3309.3934,0.0,0.0,0.0,0.0,0.385867397260274,0.3401,0.4243,0.3859
22.25,3412.9562613698627,3191.3036,3708.8666,3412.9563,0.0,0.0,0.0,0.0,0.43682164383561645,0.3886,0.4791,0.4368
22.417,3381.931260273973,3116.06,3676.99,3381.9313,0.0,0.0,0.0,0.0,0.41980246575342467,0.3724,0.4609,0.4198
22.583,3386.5592076712333,3157.8491,3641.5192,3386.5592,0.0,0.0,0.0,0.0,0.41858493150684933,0.3737,0.4564,0.4186
22.75,3400.484604109589,3174.7201,3672.707,3400.4846,0.0,0.0,0.0,0.0,0.42405123287671237,0.378,0.4638,0.4241
22.917,3399.242602739727,3177.3,3699.36,3399.2426,0.0,0.0,0.0,0.0,0.42366575342465757,0.3757,0.4604,0.4237
23.083,3406.980872054795,3176.1591,3682.6396,3406.9809,0.0,0.0,0.0,0.0,0.42478191780821917,0.3803,0.4646,0.4248
23.25,3416.1518219178083,3212.5035,3652.521,3416.1518,0.0,0.0,0.0,0.0,0.42404575342465756,0.3818,0.4616,0.424
23.417,3421.981123287671,3201.78,3700.96,3421.9811,0.0,0.0,0.0,0.0,0.4220134246575342,0.3766,0.4608,0.422
23.583,3429.692305205479,3210.2407,3702.4038,3429.6923,0.0,0.0,0.0,0.0,0.42401698630136986,0.3823,0.4645,0.424
23.75,3439.061013150685,3090.0777,3697.1141,3439.061,0.0,0.0,0.0,0.0,0.4271490410958904,0.3839,0.4658,0.4271
23.917,3444.725890410959,3222.62,3671.71,3444.7259,0.0,0.0,0.0,0.0,0.4275789041095891,0.3847,0.4699,0.4276
